name,lat,lon
"서울특별시 중구 손기정로 101 (만리동2가, 손기정공원)",37.55557852,126.9647416
"서울특별시 중구 세종대로 50 (남대문로4가, 흥국생명빌딩)",37.56091824,126.9762394
"서울특별시 중구 세종대로 지하 2 (남대문로5가, 서울역 1호선)",37.55690197,126.9725596
"서울특별시 중구 을지로 지하 106 (을지로3가, 을지로3가역 2호선)",37.56620983,126.9902282
"서울특별시 중구 통일로 21 (봉래동2가, 서울역앞우체국)",37.55758853,126.9714029
"서울특별시 중구 세종대로 67 (태평로2가, 삼성본관빌딩)",37.562385,126.9754513
"서울특별시 중구 세종대로9길 42 (서소문동, 부영빌딩)",37.56157072,126.9737897
"서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소)",37.56055274,126.9738584
"서울특별시 중구 퇴계로45길 32-12 (충무로5가, 묵정경노당)",37.56377785,126.9997989
"서울특별시 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",37.57097824,127.0214338
서울특별시 중구 정동길 3 (정동),37.5681701,126.9699921
"서울특별시 중구 다산로36길 110 (신당동, 신당푸르지오)",37.55920044,127.0195049
"서울특별시 중구 동호로 191 (신당동, 선일빌딩)",37.55505322,127.0100685
"서울특별시 중구 다산로 지하 38 (신당동, 버티고개역 6호선)",37.54818732,127.0070664
"서울특별시 중구 서소문로 117 (서소문동, 대한항공빌딩)",37.56356669,126.9741907
"서울특별시 용산구 서빙고로 137 (용산동6가, 국립중앙박물관)",37.52303715,126.9822349
"서울특별시 용산구 서빙고로 279 (서빙고동, 서빙고동주민센터)",37.52048894,126.9946164
"서울특별시 용산구 백범로 250 (효창동, 세양청마루아파트)",37.54074795,126.9569634
"서울특별시 용산구 이촌로2가길 122, 지하1~2층 (이촌동, 대림아파트)",37.52521835,126.9549285
"서울특별시 용산구 이촌로34길 29, 지하1~2층 (이촌동, 현대한강아파트)",37.52332403,126.9575762
"서울특별시 용산구 효창원로 161 (효창동, 효창동 주민센터)",37.54253915,126.9617848
"서울특별시 용산구 녹사평대로 150, 용산구종합행정타운 지하 2~5층 (이태원동)",37.53256195,126.9901788
"서울특별시 용산구 남산공원길 105 (용산동2가, YTN서울타워)",37.54659302,126.9866187
"서울특별시 용산구 녹사평대로11길 58 (서빙고동, 모투스 엔 실버불렛 사옥)",37.52076147,126.9934877
"서울특별시 용산구 장문로 141, 지하 1~2층 (한남동, 한남힐스테이트)",37.52844128,127.0038473
"서울특별시 용산구 장문로6길 76 (동빙고동, 용산푸르지오파크타운)",37.52580944,126.9953051
"서울특별시 용산구 이태원로 222, 제일기획 (한남동)",37.53495594,126.9988341
"서울특별시 용산구 이촌로18길 20, 이촌2동 주민센터 지하1~2층 (이촌동)",37.52623661,126.9546934
"서울특별시 용산구 독서당로 98, 지하 1층 (한남동)",37.53510302,127.0114156
"서울특별시 용산구 이태원로 지하177, 6호선 이태원역 지하층 (이태원동)",37.53454727,126.9946495
"서울특별시 용산구 백범로90다길 12, 지하1~3층 (문배동, 용산씨제이나인파크)",37.53608446,126.9691707
"서울특별시 용산구 이태원로 179, 해밀톤호텔 (본관) 지하 3~4층 (이태원동)",37.5347439,126.9938628
"서울특별시 용산구 한강대로 372, 지하2~9층 (동자동, 센트레빌아스테리움서울)",37.55167138,126.9732101
